city	state	medianage	males	females	total_population	veterans	foreign_born	ave_hh_size	state_abbr	AmericanIndianandAlaskaNative	BlackorAfricanAmerican	HispanicorLatino	Asian	White
Sandy Springs	Georgia	35.4	48570	56777	105347	3015	19837	2.4	GA	1574	15420	13670	7909	78835
Iowa City	Iowa	25.5	37089	37138	74227	2047	9202	2.36	IA	610	7219	4072	5533	59839
Largo	Florida	45.1	38166	42841	81007	8310	10489	2.28	FL	881	5860	9561	3249	73502
Kalamazoo	Michigan	26.4	37175	38865	76040	3048	3482	2.36	MI	954	19194	4114	2429	56866
Round Rock	Texas	34.9	56646	59193	115839	6804	18237	3.13	TX	1551	13636	37151	9685	92278
Richmond	California	35.3	52615	57100	109715	3611	42215	2.87	CA	2348	27434	45132	20082	36074
Columbia	Missouri	26.8	56544	62554	119098	4548	10729	2.37	MO	1713	15489	4956	8673	96067
Sandy	Utah	34.6	46923	46689	93612	3451	6691	3.22	UT	507	522	6832	5657	85130
Hoover	Alabama	38.5	38040	46799	84839	4819	8229	2.58	AL	0	18191	3430	4759	61869
Fullerton	California	34.5	69549	71300	140849	5394	43404	2.97	CA	1668	5241	53459	33937	92216
Rapid City	South Dakota	39.5	36122	37446	73568	7429	2375	2.31	SD	9159	2217	2971	2170	63983
Newport Beach	California	46.8	43161	43970	87131	4847	15318	2.4	CA	423	0	8127	10017	74814
Columbus	Georgia	33.7	98785	101794	200579	21747	10376	2.62	GA	1343	95366	15180	7039	97436
Albany	Georgia	33.3	31695	39414	71109	5409	861	2.38	GA	445	53440	1783	650	17160
Jurupa Valley	California	33.8	49430	50884	100314	3833	25338	3.87	CA	1554	3091	66525	4992	58201
Providence	Rhode Island	29.9	89090	90114	179204	4933	53532	2.72	RI	4171	30638	77968	13432	97885
Decatur	Illinois	40.4	34646	38210	72856	5291	1224	2.23	IL	265	17939	1709	1343	56231
Scranton	Pennsylvania	38.5	37975	39137	77112	5059	8069	2.39	PA	0	6256	11301	4722	66875
Anaheim	California	33.6	179603	171135	350738	9796	137133	3.45	CA	2489	9775	201593	53270	259820
Rochester	New York	31.4	100135	109673	209808	7288	17735	2.36	NY	4856	93072	38004	8748	105636
Buffalo	New York	33.1	124537	133529	258066	11231	24630	2.27	NY	4406	101254	29656	14518	130078
Richmond	Virginia	33.6	104793	115496	220289	12538	15741	2.29	VA	4902	109722	14259	6626	104568
Santa Ana	California	30.8	167503	167920	335423	4735	152999	4.58	CA	4838	5813	262436	37651	163096
Sunnyvale	California	35.7	79480	72280	151760	3900	71441	2.74	CA	1179	4210	25638	69472	71463
Augusta-Richmond County consolidated government	Georgia	33.7	94662	101917	196579	19085	7915	2.67	GA	1667	112271	9068	4429	77940
Milwaukee	Wisconsin	31.6	286315	313839	600154	20615	58321	2.51	WI	10813	248149	110335	24832	297038
Conroe	Texas	31.5	34907	33685	68592	4871	13839	2.65	TX	707	6713	23863	2302	57480
Savannah	Georgia	30.3	69389	76295	145684	9717	10355	2.57	GA	2116	82307	9734	5366	57690
German	Maryland	34.9	41115	43007	84122	2443	27877	2.95	MD	1232	22273	18202	15921	43330
Costa Mesa	California	34.8	59097	54089	113186	4095	26645	2.59	CA	1961	2925	38239	9165	87320
New Haven	Connecticut	29.9	63765	66545	130310	2567	25871	2.48	CT	2205	43356	43563	7966	56251
Westland	Michigan	39.9	37742	44253	81995	4756	6429	2.41	MI	429	16422	2827	4843	60576
Waldorf	Maryland	33.6	35640	39872	75512	6932	5954	2.69	MD	1918	47334	4810	4100	26788
Cedar Rapids	Iowa	36.2	63109	67296	130405	7823	5404	2.32	IA	1243	11921	5328	5406	116851
Troy	Michigan	43.3	42371	40905	83276	2975	21004	2.59	MI	1677	5294	2400	22721	56175
Kirkland	Washington	40.8	42159	45108	87267	5156	18570	2.3	WA	1155	1041	6720	15277	70491
Santa Barbara	California	37.8	45068	46784	91852	4518	19441	2.51	CA	1560	2013	31102	4964	73659
Lake Forest	California	40.3	41515	40982	82497	3748	20784	2.76	CA	1482	3526	17410	16690	59846
Chino	California	36.5	50989	34610	85599	4186	18666	3.62	CA	4790	6815	45495	12948	44543
Tucson	Arizona	33.6	264893	266781	531674	38182	82220	2.45	AZ	24409	33900	231025	24689	404342
Boise	Idaho	34.9	110099	108181	218280	16004	13409	2.61	ID	4046	4413	19480	9806	204913
Metairie	Louisiana	41.6	69515	76943	146458	7187	19871	2.39	LA	438	17263	19703	4791	124270
Moreno Valley	California	30.7	98584	105597	204181	8529	54442	3.9	CA	1843	35550	120610	11912	90391
Wyoming	Michigan	32.8	35967	39310	75277	3447	8612	2.65	MI	2444	8839	15325	3227	58989
Frisco	Texas	37.2	73989	80399	154388	6297	30913	3.05	TX	2947	10821	17093	30341	111477
Waterloo	Iowa	37.2	34488	33969	68457	4800	5082	2.42	IA	467	11815	4961	1636	51252
Oakland	California	35.7	203827	215451	419278	12159	113896	2.56	CA	8380	118228	114054	75446	171599
Jonesboro	Arkansas	32.6	35666	38240	73906	3682	3222	2.44	AR	2109	14599	4614	1282	56626
Springfield	Missouri	34.1	81057	85741	166798	12291	7765	2.12	MO	2777	10026	7100	5725	151686
Mission	Texas	32.9	40530	42777	83307	2383	22608	3.51	TX	0	0	73367	3075	77985
Midland	Texas	32.1	66595	66355	132950	5753	17061	2.78	TX	1922	10379	58677	3279	115958
Lansing	Michigan	31.4	54333	59777	114110	5327	8371	2.39	MI	5254	34196	14245	4168	75688
Springdale	Arkansas	31.8	36840	43614	80454	3397	19969	3.04	AR	547	1859	30200	1422	56843
Bay	Texas	32.9	37977	37508	75485	3478	13192	2.59	TX	2167	16782	31672	2819	48797
Apple Valley	California	34.3	32873	39312	72185	5714	5801	3.03	CA	1446	9124	25928	2281	60767
Brockton	Massachusetts	35.2	46273	49041	95314	3036	27313	2.88	MA	881	43646	10890	2528	40110
Poinciana	Florida	34.2	38142	35801	73943	2933	14349	3.93	FL	1593	24750	37382	1409	45622
Davis	California	26.3	33493	34163	67656	2176	13997	2.69	CA	779	2081	9041	17816	47997
Saint Louis	Missouri	35.0	153026	162659	315685	17060	21802	2.16	MO	2746	151030	12261	12209	155574
Lehigh Acres	Florida	34.3	57856	61624	119480	5551	31880	3.55	FL	1675	29998	42092	1853	86328
Framingham	Massachusetts	40.3	35442	35768	71210	2625	19070	2.49	MA	849	6944	13000	5993	52205
Waco	Texas	29.3	63452	68890	132342	10716	14235	2.57	TX	794	29883	40585	4230	96958
Bellingham	Washington	30.7	41286	43857	85143	4703	8713	2.44	WA	2056	2325	6966	8010	74183
Maple Grove	Minnesota	38.6	31780	36601	68381	2943	7645	2.64	MN	549	2951	1685	6088	59683
Torrance	California	41.2	73209	75259	148468	8459	43096	2.7	CA	3638	5906	25699	54317	80498
Scottsdale	Arizona	46.9	115712	121132	236844	16798	27207	2.17	AZ	7003	5279	24766	11555	205512
San Diego	California	34.5	693826	701081	1394907	92489	373842	2.73	CA	16496	111650	425414	267222	949388
Centreville	Virginia	36.0	34749	37033	71782	3779	27797	2.97	VA	355	6724	9613	25058	39129
Ellicott City	Maryland	42.4	34406	36526	70932	3856	17587	2.73	MD	396	6089	1602	22551	43537
Urban Honolulu	Hawaii	41.4	176807	175959	352766	23213	101312	2.69	HI	5592	11781	24586	240978	110508
Phoenix	Arizona	33.8	786833	776168	1563001	72388	300702	2.89	AZ	41748	132939	669914	66403	1161455
Independence	Missouri	38.6	54348	62907	117255	10220	4911	2.33	MO	1883	10394	12236	558	98940
McKinney	Texas	35.6	77339	85548	162887	8082	25760	2.91	TX	1801	16689	31705	13882	129192
Fontana	California	29.5	100644	106828	207472	4076	61448	4.15	CA	2656	16986	156134	14281	85044
Nashua	New Hampshire	38.3	42926	45049	87975	5532	12693	2.46	NH	655	4147	10511	9685	73977
Indianapolis	Indiana	34.1	410615	437808	848423	42186	72456	2.53	IN	8656	253932	83426	29307	553665
Fall River	Massachusetts	39.3	43314	45456	88770	4143	14775	2.21	MA	1481	6389	9081	1891	77242
Yuba City	California	34.5	33654	33290	66944	4706	18032	2.9	CA	2163	1912	20890	15065	48746
Pearland	Texas	33.9	52336	59329	111665	5621	16882	3.0	TX	851	23779	26460	14683	73349
Palatine	Illinois	38.0	36506	32763	69269	2629	21760	2.69	IL	0	1822	18626	8145	46246
San Angelo	Texas	32.8	49669	50744	100413	8412	7859	2.5	TX	548	6079	42494	1658	86655
Murfreesboro	Tennessee	30.2	60704	65417	126121	5199	8948	2.6	TN	1339	22651	8840	7265	97270
Bk	California	37.0	50405	54909	105314	4048	32435	2.52	CA	1639	4729	22089	14636	79582
Jacksonville	Florida	35.7	419203	448828	868031	75432	85650	2.62	FL	8177	282692	80064	50895	543582
Olathe	Kansas	33.0	65046	69270	134316	6042	11913	2.97	KS	1872	9518	16131	6288	120282
Redlands	California	36.2	33993	37035	71028	3445	8681	2.82	CA	811	6973	19698	6255	55241
Franklin	Tennessee	38.3	34991	37644	72635	3303	6876	2.73	TN	0	7749	4916	3911	61459
Norwalk	Connecticut	42.4	40880	47603	88483	2877	22328	2.7	CT	552	15129	24682	2954	67844
Nampa	Idaho	31.4	45651	44199	89850	4736	6607	2.98	ID	2167	1600	22066	1486	80776
San Clemente	California	45.2	34076	31456	65532	3970	8109	2.64	CA	0	251	10421	4296	58849
Redwood City	California	37.1	42676	42624	85300	2430	27652	2.64	CA	664	2758	29011	14873	51019
Gilbert	Arizona	33.2	116711	130812	247523	10817	24531	3.2	AZ	5965	9076	39937	19740	211322
Cheektowaga	New York	40.7	37476	38599	76075	5408	3532	2.3	NY	0	10562	1994	1584	63541
Santa Clara	California	35.2	63278	62938	126216	4426	52281	2.75	CA	1354	4580	22402	58360	55847
Plano	Texas	38.1	138565	145054	283619	11719	74030	2.65	TX	3771	25217	42959	59958	195220
Merced	California	29.7	40048	42392	82440	3723	16348	3.15	CA	2331	6464	43684	9911	42475
Oshkosh	Wisconsin	33.0	32905	33652	66557	3809	2348	2.3	WI	237	2778	1972	3182	60210
Salem	Oregon	35.4	80839	83704	164543	9685	19668	2.69	OR	7678	3770	39414	6076	148650
Arden-Arcade	California	41.5	47596	48680	96276	6511	13458	2.18	CA	2587	13647	15273	7355	69369
Pasadena	Texas	31.5	78827	74959	153786	5735	38072	2.95	TX	1993	6204	105871	1570	140240
Livonia	Michigan	47.4	45369	49264	94633	5397	7175	2.52	MI	445	4633	1772	2719	87383
Lowell	Massachusetts	33.4	54422	56298	110720	3764	33414	2.8	MA	868	7310	22095	28944	68838
Glen Burnie	Maryland	36.5	33398	36461	69859	5298	6971	2.58	MD	708	17010	9137	3194	49982
Hesperia	California	29.4	43588	49698	93286	3739	16667	3.52	CA	1712	4889	53765	2131	78718
Ogden	Utah	31.3	44323	41127	85450	5080	12791	2.68	UT	1717	2620	28275	1911	74960
Hemet	California	36.8	38622	45251	83873	5613	13330	2.97	CA	2288	7650	37448	3697	67817
Whittier	California	36.1	44397	43039	87436	2790	17145	3.11	CA	680	1262	61249	3503	49388
Toms River	New Jersey	43.7	43864	43886	87750	5042	6852	2.71	NJ	251	3703	10267	4691	79538
Charlotte	North Carolina	34.3	396646	430475	827121	36046	128897	2.52	NC	8746	301568	113731	55399	446795
Dale City	Virginia	33.4	35984	35415	71399	6085	22306	3.65	VA	548	18074	23868	9251	34640
Casas Adobes	Arizona	44.8	30890	34375	65265	6601	7024	2.24	AZ	2047	1854	13609	3009	58956
Fort Collins	Colorado	29.6	80893	80288	161181	8425	9704	2.45	CO	3271	3176	15521	7913	150568
Yorba Linda	California	45.5	31960	36006	67966	3171	15532	3.0	CA	211	1326	10599	17616	49980
Hayward	California	34.3	78152	80148	158300	4385	60970	3.32	CA	2178	20219	64880	46285	74800
San Mateo	California	39.3	50966	52558	103524	2730	34957	2.64	CA	682	2880	23151	30573	62656
Woodbury	Minnesota	37.7	31982	35868	67850	2732	9477	2.72	MN	0	6054	3258	7758	56216
Dearborn	Michigan	33.5	46482	48698	95180	3163	23920	3.04	MI	713	3699	3533	4134	88742
Ann Arbor	Michigan	28.1	58789	58281	117070	3614	20717	2.17	MI	1935	9577	5888	18797	90173
Bayamón	Puerto Rico	39.4	80128	90131	170259	0	0	0.0	PR	0	0	169155	0	0
East Los Angeles	California	32.6	60460	59206	119666	1101	49575	3.75	CA	778	508	116211	1053	48980
South Bend	Indiana	32.4	50483	53274	103757	3708	8779	2.72	IN	411	30005	16462	1788	71391
Carson	California	40.4	43790	49506	93296	4273	33860	3.7	CA	2119	19947	32938	31706	28801
Port Saint Lucie	Florida	42.1	84069	95341	179410	12416	34003	2.91	FL	1536	32986	34240	7967	135049
Asheville	North Carolina	37.9	42100	46407	88507	4973	6630	2.18	NC	496	9078	4146	1939	77979
Washington	District of Columbia	33.8	319705	352523	672228	25963	95117	2.24	DC	6130	328786	71129	35072	285402
Temple	Texas	33.6	33512	38785	72297	7333	3968	2.59	TX	1615	14747	21372	1781	54698
New York	New York	36.0	4081698	4468707	8550405	156961	3212500	2.68	NY	90923	2192248	2485125	1304564	3835726
Overland Park	Kansas	38.2	93355	93156	186511	10461	21407	2.41	KS	1264	10685	10104	17123	161153
Baldwin Park	California	35.8	38747	38309	77056	780	34322	4.13	CA	316	1560	56282	15505	36890
Union City	California	38.5	38599	35911	74510	1440	32752	3.46	CA	243	5508	13207	44849	16845
Lakeland	Florida	38.1	47840	56570	104410	7390	11592	2.56	FL	288	25111	16501	3348	75636
Eau Claire	Wisconsin	32.0	32327	35106	67433	3261	2833	2.4	WI	876	725	1488	4202	62194
Laguna Niguel	California	45.8	30193	35619	65812	2648	12571	2.58	CA	0	881	9203	8499	55919
Kennewick	Washington	32.0	38492	40411	78903	5158	8376	2.78	WA	1101	2887	19395	4252	65228
Canton	Ohio	33.4	34476	37419	71895	3404	2204	2.32	OH	358	21353	3597	0	53571
Rockford	Illinois	36.3	71076	78270	149346	8894	18323	2.52	IL	2301	33122	28923	5500	107148
Somerville	Massachusetts	31.0	41028	39306	80334	2103	22292	2.43	MA	374	7140	8790	9498	62927
Modesto	California	35.2	104852	106405	211257	9855	39613	2.97	CA	4388	9869	85141	19417	166618
Southfield	Michigan	41.6	31369	41808	73177	4035	4011	2.27	MI	983	54200	573	1345	18296
Portland	Oregon	36.7	313516	318671	632187	29940	86041	2.43	OR	15314	45914	61064	64386	524258
Westminster	Colorado	37.8	54866	58251	113117	6512	11361	2.63	CO	1444	3228	23355	8668	100084
North Little Rock	Arkansas	33.6	31671	34835	66506	4130	2787	2.62	AR	713	30766	4860	0	34118
Yonkers	New York	38.0	96580	104538	201118	4801	61247	2.8	NY	1112	38731	73608	13981	129492
Atlanta	Georgia	33.8	223960	239915	463875	18572	32016	2.15	GA	4606	245367	18653	24268	196316
Cambridge	Massachusetts	31.5	55421	54981	110402	2495	27757	2.06	MA	906	11880	9433	18441	80551
Edinburg	Texas	29.3	39422	45079	84501	2409	16569	3.31	TX	0	0	74698	812	77560
Glendale	California	42.1	98181	102844	201025	4448	111510	2.69	CA	474	4619	30807	42070	146718
Abilene	Texas	31.3	65212	60664	125876	9367	8129	2.64	TX	1813	14449	33222	2929	95487
Bismarck	North Dakota	38.0	34675	35565	70240	4145	2064	2.11	ND	4040	1700	1667	930	64719
Lawton	Oklahoma	31.1	51099	45560	96659	11572	6123	2.72	OK	10027	25767	13780	5173	63948
Fremont	California	38.3	114383	117808	232191	4629	109427	3.12	CA	1606	7762	29594	141953	67294
